address,square_feet,url,price,price_per_sq_ft,status,number_of_beds,number_of_bathrooms
"1795 Pondside Dr, Northbrook, IL 60062","3,064",https://www.zillow.com/homedetails/1795-Pondside-Dr-Northbrook-IL-60062/3338777_zpid/,"$610,000",199.08616187989557,Sold,4,3
"3030 Pheasant Creek Dr Apt 103, Northbrook, IL 60062",,https://www.zillow.com/homedetails/3030-Pheasant-Creek-Dr-APT-103-Northbrook-IL-60062/2084991818_zpid/,"$139,000",139000.0,Sold,2,2
"1868 Mission Hills Ln, Northbrook, IL 60062","2,060",https://www.zillow.com/homedetails/1868-Mission-Hills-Ln-Northbrook-IL-60062/2078775184_zpid/,"$360,000",174.75728155339806,Sold,3,3
"2814 Brindle Ct, Northbrook, IL 60062","2,194",https://www.zillow.com/homedetails/2814-Brindle-Ct-Northbrook-IL-60062/3333043_zpid/,"$295,000",134.45761166818596,Sold,3,3
"1337 Southwind Dr, Northbrook, IL 60062","3,139",https://www.zillow.com/homedetails/1337-Southwind-Dr-Northbrook-IL-60062/3332417_zpid/,"$640,000",203.8865880853775,Sold,5,4
"925 Spring Hill Dr Apt 311, Northbrook, IL 60062",,https://www.zillow.com/homedetails/925-Spring-Hill-Dr-APT-311-Northbrook-IL-60062/2078880825_zpid/,"$150,000",150000.0,Sold,2,2
"936 Spring Hill Dr, Northbrook, IL 60062","1,750",https://www.zillow.com/homedetails/936-Spring-Hill-Dr-Northbrook-IL-60062/3332616_zpid/,"$310,000",177.14285714285714,Sold,3,3
"1781 Tudor Ln Unit 202, Northbrook, IL 60062",,https://www.zillow.com/homedetails/1781-Tudor-Ln-UNIT-202-Northbrook-IL-60062/70452573_zpid/,"$362,000",362000.0,Sold,2,2
"1533 Shermer Rd, Northbrook, IL 60062",867,https://www.zillow.com/homedetails/1533-Shermer-Rd-Northbrook-IL-60062/3336880_zpid/,"$225,000",259.51557093425606,Sold,2,1
"4040 Greenacre Dr, Northbrook, IL 60062","4,800",https://www.zillow.com/homedetails/4040-Greenacre-Dr-Northbrook-IL-60062/3331532_zpid/,"$840,000",175.0,Sold,5,5
"1227 Eastwood Ln, Northbrook, IL 60062","5,031",https://www.zillow.com/homedetails/1227-Eastwood-Ln-Northbrook-IL-60062/3336499_zpid/,$1.36M,270.3239912542238,Sold,6,6
"1247 Hillside Dr, Northbrook, IL 60062","4,365",https://www.zillow.com/homedetails/1247-Hillside-Dr-Northbrook-IL-60062/3336530_zpid/,$1.19M,272.62313860252004,Sold,5,6
"4227 Ridgeland Ln, Northbrook, IL 60062","3,000",https://www.zillow.com/homedetails/4227-Ridgeland-Ln-Northbrook-IL-60062/3332126_zpid/,"$520,000",173.33333333333334,Sold,4,4
"3852 N Parkway Dr #3a, Northbrook, IL 60062",,https://www.zillow.com/homedetails/3852-N-Parkway-Dr-3A-Northbrook-IL-60062/2078196045_zpid/,"$115,000",115000.0,Sold,2,1
"40 Bridlewood Ln, Northbrook, IL 60062","10,108",https://www.zillow.com/homedetails/40-Bridlewood-Ln-Northbrook-IL-60062/3337688_zpid/,$1.44M,142.46141669964385,Sold,6,8
"1143 Adams St, Northbrook, IL 60062","3,037",https://www.zillow.com/homedetails/1143-Adams-St-Northbrook-IL-60062/159463785_zpid/,"$542,500",178.63022719789265,Sold,3,3
"606 Dauphine Ave, Northbrook, IL 60062","3,400",https://www.zillow.com/homedetails/606-Dauphine-Ave-Northbrook-IL-60062/3331289_zpid/,"$785,000",230.88235294117646,Sold,5,3
"1220 Rudolph Rd Apt 5k, Northbrook, IL 60062","1,672",https://www.zillow.com/homedetails/1220-Rudolph-Rd-APT-5K-Northbrook-IL-60062/3329695_zpid/,"$275,000",164.47368421052633,Sold,2,2
"837 Bittersweet Dr, Northbrook, IL 60062","1,600",https://www.zillow.com/homedetails/837-Bittersweet-Dr-Northbrook-IL-60062/3336296_zpid/,"$425,000",265.625,Sold,3,2
"1001 Hillside Dr, Northbrook, IL 60062","1,844",https://www.zillow.com/homedetails/1001-Hillside-Dr-Northbrook-IL-60062/3336455_zpid/,"$490,000",265.72668112798266,Sold,3,2
"1448 Ridge Rd, Northbrook, IL 60062","3,200",https://www.zillow.com/homedetails/1448-Ridge-Rd-Northbrook-IL-60062/3336399_zpid/,"$725,000",226.5625,Sold,4,3
"3110 Pheasant Creek Dr Apt 214, Northbrook, IL 60062","1,200",https://www.zillow.com/homedetails/3110-Pheasant-Creek-Dr-APT-214-Northbrook-IL-60062/2081171131_zpid/,"$171,000",142.5,Sold,2,2
"3750 Greenleaf Dr, Northbrook, IL 60062","1,700",https://www.zillow.com/homedetails/3750-Greenleaf-Dr-Northbrook-IL-60062/3349767_zpid/,"$270,000",158.8235294117647,Sold,3,2
"2540 Salceda Dr, Northbrook, IL 60062","3,200",https://www.zillow.com/homedetails/2540-Salceda-Dr-Northbrook-IL-60062/3343686_zpid/,"$300,000",93.75,Sold,4,3
"2966 Acorn Ln, Northbrook, IL 60062","3,108",https://www.zillow.com/homedetails/2966-Acorn-Ln-Northbrook-IL-60062/3333234_zpid/,"$520,000",167.31016731016732,Sold,4,3
"3831 Dauphine Ave, Northbrook, IL 60062","3,018",https://www.zillow.com/homedetails/3831-Dauphine-Ave-Northbrook-IL-60062/3331336_zpid/,"$509,000",168.6547382372432,Sold,4,3
"1933 Walnut Cir, Northbrook, IL 60062","3,530",https://www.zillow.com/homedetails/1933-Walnut-Cir-Northbrook-IL-60062/3329506_zpid/,"$517,500",146.60056657223797,Sold,4,3
"221 Hickory Ct, Northbrook, IL 60062","5,457",https://www.zillow.com/homedetails/221-Hickory-Ct-Northbrook-IL-60062/3329568_zpid/,$1.24M,227.2310793476269,Sold,6,7
"1036 Blackthorn Ln, Northbrook, IL 60062","1,852",https://www.zillow.com/homedetails/1036-Blackthorn-Ln-Northbrook-IL-60062/3334492_zpid/,"$470,000",253.77969762419008,Sold,3,2
"2383 Asbury Rd, Northbrook, IL 60062","5,550",https://www.zillow.com/homedetails/2383-Asbury-Rd-Northbrook-IL-60062/3339393_zpid/,$1.20M,216.21621621621622,Sold,5,5
"2091 2nd St, Northbrook, IL 60062","1,047",https://www.zillow.com/homedetails/2091-2nd-St-Northbrook-IL-60062/3339772_zpid/,"$410,000",391.5950334288443,Sold,0,a
"500 Voltz Rd, Northbrook, IL 60062","9,748",https://www.zillow.com/homedetails/500-Voltz-Rd-Northbrook-IL-60062/3338637_zpid/,$1.93M,197.9893311448502,Sold,7,1
"2005 Valencia Dr Apt 110d, Northbrook, IL 60062",,https://www.zillow.com/homedetails/2005-Valencia-Dr-APT-110D-Northbrook-IL-60062/3343990_zpid/,"$135,000",135000.0,Sold,1, 
"2243 Woodlawn Rd, Northbrook, IL 60062","6,892",https://www.zillow.com/homedetails/2243-Woodlawn-Rd-Northbrook-IL-60062/65538009_zpid/,$1.91M,277.1329077190946,Sold,6,8
"2299 Pfingsten Rd, Northbrook, IL 60062","1,944",https://www.zillow.com/homedetails/2299-Pfingsten-Rd-Northbrook-IL-60062/3339663_zpid/,"$397,000",204.21810699588477,Sold,4,3
"2 The Court Of Harborside Apt 101, Northbrook, IL 60062","1,450",https://www.zillow.com/homedetails/2-The-Court-Of-Harborside-APT-101-Northbrook-IL-60062/3333440_zpid/,"$210,000",144.82758620689654,Sold,2,2
"1810 South Ln, Northbrook, IL 60062","4,400",https://www.zillow.com/homedetails/1810-South-Ln-Northbrook-IL-60062/3338551_zpid/,"$875,000",198.86363636363637,Sold,5,5
"3175 Cherry Ln, Northbrook, IL 60062","1,680",https://www.zillow.com/homedetails/3175-Cherry-Ln-Northbrook-IL-60062/3333884_zpid/,"$670,000",398.8095238095238,Sold,4,4
"2284 Scott Rd, Northbrook, IL 60062","4,716",https://www.zillow.com/homedetails/2284-Scott-Rd-Northbrook-IL-60062/3339322_zpid/,"$625,000",132.52756573367262,Sold,5,4
"2965 Keystone Rd, Northbrook, IL 60062","2,826",https://www.zillow.com/homedetails/2965-Keystone-Rd-Northbrook-IL-60062/3340276_zpid/,"$645,000",228.23779193205945,Sold,5,4
"834 Western Ave, Northbrook, IL 60062","2,548",https://www.zillow.com/homedetails/834-Western-Ave-Northbrook-IL-60062/3334314_zpid/,"$481,831",189.10164835164835,Sold,4,3
"724 Charlemagne Dr, Northbrook, IL 60062","3,481",https://www.zillow.com/homedetails/724-Charlemagne-Dr-Northbrook-IL-60062/3331355_zpid/,"$750,000",215.45532892846884,Sold,6,4
"1805 Central Ave, Northbrook, IL 60062","1,263",https://www.zillow.com/homedetails/1805-Central-Ave-Northbrook-IL-60062/3340090_zpid/,"$372,000",294.5368171021378,Sold,4,2
"1971 Penfold Pl, Northbrook, IL 60062","5,643",https://www.zillow.com/homedetails/1971-Penfold-Pl-Northbrook-IL-60062/3339488_zpid/,$1.26M,223.2854864433812,Sold,6,7
"2750 The Mews, Northbrook, IL 60062","2,100",https://www.zillow.com/homedetails/2750-The-Mews-Northbrook-IL-60062/2096446388_zpid/,"$350,000",166.66666666666666,Sold,3,3
"1211 Western Ave, Northbrook, IL 60062","3,250",https://www.zillow.com/homedetails/1211-Western-Ave-Northbrook-IL-60062/70452556_zpid/,"$665,000",204.6153846153846,Sold,4,3
"302 Basswood Dr, Northbrook, IL 60062","2,355",https://www.zillow.com/homedetails/302-Basswood-Dr-Northbrook-IL-60062/3279124_zpid/,"$400,000",169.85138004246284,Sold,3,3
"1701 Ferndale Ave, Northbrook, IL 60062","1,850",https://www.zillow.com/homedetails/1701-Ferndale-Ave-Northbrook-IL-60062/2079594465_zpid/,"$430,000",232.43243243243242,Sold,3,3
"1932 Penfold Pl, Northbrook, IL 60062","3,696",https://www.zillow.com/homedetails/1932-Penfold-Pl-Northbrook-IL-60062/3339472_zpid/,$1.10M,297.6190476190476,Sold,4,4
"2815 Highland Rd, Northbrook, IL 60062","2,605",https://www.zillow.com/homedetails/2815-Highland-Rd-Northbrook-IL-60062/3342431_zpid/,"$554,000",212.66794625719768,Sold,3,3
"1805 Somerset Ln, Northbrook, IL 60062","1,542",https://www.zillow.com/homedetails/1805-Somerset-Ln-Northbrook-IL-60062/3339234_zpid/,"$290,000",188.0674448767834,Sold,2,3
"4003 Yorkshire Ln, Northbrook, IL 60062","3,422",https://www.zillow.com/homedetails/4003-Yorkshire-Ln-Northbrook-IL-60062/3331577_zpid/,"$670,000",195.79193454120397,Sold,5,4
"3801 Mission Hills Rd Apt 209, Northbrook, IL 60062","1,350",https://www.zillow.com/homedetails/3801-Mission-Hills-Rd-APT-209-Northbrook-IL-60062/2086451832_zpid/,"$200,000",148.14814814814815,Sold,2,2
"2120 Dehne Rd, Northbrook, IL 60062","3,124",https://www.zillow.com/homedetails/2120-Dehne-Rd-Northbrook-IL-60062/3339340_zpid/,"$549,000",175.73623559539053,Sold,5,3
"2628 Woodlawn Rd, Northbrook, IL 60062","2,472",https://www.zillow.com/homedetails/2628-Woodlawn-Rd-Northbrook-IL-60062/3338804_zpid/,"$574,500",232.40291262135923,Sold,4,3
"1250 Rudolph Rd Apt 5n, Northbrook, IL 60062","1,100",https://www.zillow.com/homedetails/1250-Rudolph-Rd-APT-5N-Northbrook-IL-60062/2090866591_zpid/,"$245,000",222.72727272727272,Sold,2,1
"1280 Rudolph Rd #4a, Northbrook, IL 60062",,https://www.zillow.com/homedetails/1280-Rudolph-Rd-4A-Northbrook-IL-60062/3329813_zpid/,"$315,000",315000.0,Sold,2,2
"1716 Longvalley Dr, Northbrook, IL 60062","3,020",https://www.zillow.com/homedetails/1716-Longvalley-Dr-Northbrook-IL-60062/3339930_zpid/,"$638,000",211.25827814569536,Sold,4,3
"101 Pointe Dr Unit 105, Northbrook, IL 60062","1,344",https://www.zillow.com/homedetails/101-Pointe-Dr-UNIT-105-Northbrook-IL-60062/2122711529_zpid/,"$245,000",182.29166666666666,Sold,2,2
"1220 Rudolph Rd Apt 4a, Northbrook, IL 60062","1,810",https://www.zillow.com/homedetails/1220-Rudolph-Rd-APT-4A-Northbrook-IL-60062/3329672_zpid/,"$350,000",193.37016574585635,Sold,2,2
"1275 Shermer Rd, Northbrook, IL 60062","2,392",https://www.zillow.com/homedetails/1275-Shermer-Rd-Northbrook-IL-60062/2082271111_zpid/,"$653,513",273.20777591973246,Sold,3,4
"560 Pfingsten Rd, Northbrook, IL 60062","1,316",https://www.zillow.com/homedetails/560-Pfingsten-Rd-Northbrook-IL-60062/3330547_zpid/,"$174,000",132.21884498480244,Sold,0,a
"2324 Oak Ave, Northbrook, IL 60062","2,373",https://www.zillow.com/homedetails/2324-Oak-Ave-Northbrook-IL-60062/3335455_zpid/,"$652,000",274.75769068689425,Sold,4,3
"1836 Trails Edge Dr, Northbrook, IL 60062","3,391",https://www.zillow.com/homedetails/1836-Trails-Edge-Dr-Northbrook-IL-60062/3338685_zpid/,"$952,500",280.89059274550283,Sold,5,5
"2624 Cherry Ln, Northbrook, IL 60062","2,930",https://www.zillow.com/homedetails/2624-Cherry-Ln-Northbrook-IL-60062/3334363_zpid/,"$620,111",211.6419795221843,Sold,4,3
"3860 Mission Hills Rd Apt 112, Northbrook, IL 60062","1,820",https://www.zillow.com/homedetails/3860-Mission-Hills-Rd-APT-112-Northbrook-IL-60062/3341881_zpid/,"$286,000",157.14285714285714,Sold,2,2
"1649 Central Ave, Northbrook, IL 60062","3,240",https://www.zillow.com/homedetails/1649-Central-Ave-Northbrook-IL-60062/3340005_zpid/,"$587,000",181.17283950617283,Sold,5,5
"3315 Prestwick Ln, Northbrook, IL 60062","2,839",https://www.zillow.com/homedetails/3315-Prestwick-Ln-Northbrook-IL-60062/3333641_zpid/,"$617,000",217.3300457907714,Sold,4,3
"1034 Cobblestone Ct, Northbrook, IL 60062","2,639",https://www.zillow.com/homedetails/1034-Cobblestone-Ct-Northbrook-IL-60062/3329211_zpid/,"$675,000",255.77870405456613,Sold,4,3
"1630 Ferndale Ave, Northbrook, IL 60062","2,085",https://www.zillow.com/homedetails/1630-Ferndale-Ave-Northbrook-IL-60062/3335750_zpid/,"$435,000",208.63309352517985,Sold,4,4
"1770 Seton Rd, Northbrook, IL 60062","2,610",https://www.zillow.com/homedetails/1770-Seton-Rd-Northbrook-IL-60062/3329366_zpid/,"$280,000",107.27969348659003,Sold,3,3
"3085 Pheasant Creek Dr Apt 303, Northbrook, IL 60062","1,350",https://www.zillow.com/homedetails/3085-Pheasant-Creek-Dr-APT-303-Northbrook-IL-60062/3332766_zpid/,"$164,000",121.48148148148148,Sold,2,2
"2514 Steven Ln, Northbrook, IL 60062","5,772",https://www.zillow.com/homedetails/2514-Steven-Ln-Northbrook-IL-60062/49913455_zpid/,"$869,000",150.55440055440056,Sold,5,5
"1955 Clover Rd, Northbrook, IL 60062","2,898",https://www.zillow.com/homedetails/1955-Clover-Rd-Northbrook-IL-60062/3340365_zpid/,"$593,000",204.623878536922,Sold,4,3
"1312 Edgewood Ln, Northbrook, IL 60062","3,439",https://www.zillow.com/homedetails/1312-Edgewood-Ln-Northbrook-IL-60062/3337650_zpid/,"$820,000",238.441407385868,Sold,5,5
"3787 Walters Ave, Northbrook, IL 60062","3,300",https://www.zillow.com/homedetails/3787-Walters-Ave-Northbrook-IL-60062/3332220_zpid/,"$892,000",270.3030303030303,Sold,5,4
"31 Bridlewood Rd, Northbrook, IL 60062","4,813",https://www.zillow.com/homedetails/31-Bridlewood-Rd-Northbrook-IL-60062/3337685_zpid/,$1.26M,261.79098275503844,Sold,5,3
"2136 Ash Ln, Northbrook, IL 60062","2,988",https://www.zillow.com/homedetails/2136-Ash-Ln-Northbrook-IL-60062/3334712_zpid/,"$940,500",314.7590361445783,Sold,5,5
"40 The Court Of Cobblestone, Northbrook, IL 60062","2,479",https://www.zillow.com/homedetails/40-The-Court-Of-Cobblestone-Northbrook-IL-60062/3333332_zpid/,"$434,000",175.07059298104073,Sold,3,3
"207 Trailwood Ln, Northbrook, IL 60062","3,164",https://www.zillow.com/homedetails/207-Trailwood-Ln-Northbrook-IL-60062/3330869_zpid/,"$559,000",176.67509481668773,Sold,4,4
"3764 Whirlaway Dr, Northbrook, IL 60062","3,364",https://www.zillow.com/homedetails/3764-Whirlaway-Dr-Northbrook-IL-60062/3342331_zpid/,"$660,000",196.19500594530322,Sold,7,4
"2347 Crystal Rd #22-b2, Northbrook, IL 60062","1,835",https://www.zillow.com/homedetails/2347-Crystal-Rd-22-B2-Northbrook-IL-60062/65548899_zpid/,"$350,000",190.7356948228883,Sold,3,3
"2900 Woodmere Dr, Northbrook, IL 60062","4,829",https://www.zillow.com/homedetails/2900-Woodmere-Dr-Northbrook-IL-60062/3341074_zpid/,"$810,000",167.73659142679645,Sold,5,6
"3004 Moon Hill Dr, Northbrook, IL 60062","2,532",https://www.zillow.com/homedetails/3004-Moon-Hill-Dr-Northbrook-IL-60062/3333207_zpid/,"$530,000",209.32069510268562,Sold,3,3
"2213 Wyndance Way, Northbrook, IL 60062","3,000",https://www.zillow.com/homedetails/2213-Wyndance-Way-Northbrook-IL-60062/58355975_zpid/,"$700,000",233.33333333333334,Sold,3,3
"620 Charlemagne Dr, Northbrook, IL 60062","3,481",https://www.zillow.com/homedetails/620-Charlemagne-Dr-Northbrook-IL-60062/3331331_zpid/,"$735,000",211.14622234989946,Sold,5,5
"2032 Brentwood Rd, Northbrook, IL 60062","2,100",https://www.zillow.com/homedetails/2032-Brentwood-Rd-Northbrook-IL-60062/3339291_zpid/,"$572,500",272.6190476190476,Sold,4,3
"2818 Dundee Rd Unit 3a, Northbrook, IL 60062","1,200",https://www.zillow.com/homedetails/2818-Dundee-Rd-UNIT-3A-Northbrook-IL-60062/3330603_zpid/,"$130,000",108.33333333333333,Sold,2,1
"3741 Mission Hills Rd Apt 312, Northbrook, IL 60062","2,400",https://www.zillow.com/homedetails/3741-Mission-Hills-Rd-APT-312-Northbrook-IL-60062/3341607_zpid/,"$220,000",91.66666666666667,Sold,3,3
"2405 Auburn Ln, Northbrook, IL 60062","3,309",https://www.zillow.com/homedetails/2405-Auburn-Ln-Northbrook-IL-60062/3342655_zpid/,"$580,000",175.27954064672107,Sold,4,3
"228 Elm Ct, Northbrook, IL 60062","4,500",https://www.zillow.com/homedetails/228-Elm-Ct-Northbrook-IL-60062/3329495_zpid/,"$750,000",166.66666666666666,Sold,4,5
"1002 Longaker Rd, Northbrook, IL 60062","1,396",https://www.zillow.com/homedetails/1002-Longaker-Rd-Northbrook-IL-60062/3337464_zpid/,"$440,000",315.1862464183381,Sold,4,3
"235 Old Post Rd, Northbrook, IL 60062","2,595",https://www.zillow.com/homedetails/235-Old-Post-Rd-Northbrook-IL-60062/3329150_zpid/,"$625,000",240.84778420038535,Sold,4,3
